# frame_idx  time_s  arc_m
799 4.118557 0.49422339
800 4.123711 0.49430290
801 4.128866 0.49391805
802 4.134021 0.49360558
803 4.139175 0.49325314
804 4.144330 0.49269315
805 4.149485 0.49269351
806 4.154639 0.49274260
807 4.159794 0.49214142
808 4.164948 0.49201861
809 4.170103 0.49163250
810 4.175258 0.49155664
811 4.180412 0.49135862
812 4.185567 0.49143542
813 4.190722 0.49104938
814 4.195876 0.49107156
815 4.201031 0.49103066
816 4.206186 0.49118709
817 4.211340 0.49146096
818 4.216495 0.49046409
819 4.221649 0.49063255
820 4.226804 0.49038746
821 4.231959 0.49054478
822 4.237113 0.49034746
823 4.242268 0.49031841
824 4.247423 0.49073902
825 4.252577 0.49125494
826 4.257732 0.49029083
827 4.262887 0.49133916
828 4.268041 0.49077372
829 4.273196 0.49148290
830 4.278351 0.49173315
831 4.283505 0.49205891
832 4.288660 0.49226489
833 4.293814 0.49234464
834 4.298969 0.49226324
835 4.304124 0.49209679
836 4.309278 0.49239907
837 4.314433 0.49251019
838 4.319588 0.49299604
839 4.324742 0.49332733
840 4.329897 0.49389557
841 4.335052 0.49397069
842 4.340206 0.49446730
843 4.345361 0.49421599
844 4.350515 0.49488239
845 4.355670 0.49511174
846 4.360825 0.49511384
847 4.365979 0.49562215
848 4.371134 0.49575320
849 4.376289 0.49582276
850 4.381443 0.49612372
851 4.386598 0.49674601
852 4.391753 0.49655690
853 4.396907 0.49703529
854 4.402062 0.49695002
855 4.407216 0.49749010
856 4.412371 0.49737838
857 4.417526 0.49802781
858 4.422680 0.49793129
859 4.427835 0.49786747
860 4.432990 0.49797537
861 4.438144 0.49826371
862 4.443299 0.49877713
863 4.448454 0.49860965
864 4.453608 0.49933136
865 4.458763 0.49921849
866 4.463918 0.49935740
867 4.469072 0.49944204
868 4.474227 0.50009909
869 4.479381 0.49978649
870 4.484536 0.49987270
871 4.489691 0.49999874
872 4.494845 0.50072066
873 4.500000 0.50026087
874 4.505155 0.50009266
875 4.510309 0.50032927
876 4.515464 0.50093357
877 4.520619 0.50054687
878 4.525773 0.50071812
879 4.530928 0.50099052
880 4.536082 0.50161693
881 4.541237 0.50172513
882 4.546392 0.50208475
883 4.551546 0.50235957
884 4.556701 0.50270247
885 4.561856 0.50313419
886 4.567010 0.50271228
887 4.572165 0.50274963
888 4.577320 0.50280365
889 4.582474 0.50334491
890 4.587629 0.50307400
891 4.592784 0.50430720
892 4.597938 0.50426328
893 4.603093 0.50306025
894 4.608247 0.50358866
895 4.613402 0.50480143
896 4.618557 0.50406035
897 4.623711 0.50421499
898 4.628866 0.50422008
899 4.634021 0.50385353
900 4.639175 0.50417227
901 4.644330 0.50425096
902 4.649485 0.50406015
903 4.654639 0.50406087
904 4.659794 0.50379389
905 4.664948 0.50389868
906 4.670103 0.50413364
907 4.675258 0.50342829
908 4.680412 0.50334545
909 4.685567 0.50336747
910 4.690722 0.50324711
911 4.695876 0.50330875
912 4.701031 0.50379834
913 4.706186 0.50356998
914 4.711340 0.50365893
915 4.716495 0.50335247
916 4.721649 0.50386302
917 4.726804 0.50360284
918 4.731959 0.50390452
919 4.737113 0.50399940
920 4.742268 0.50398716
921 4.747423 0.50416005
922 4.752577 0.50384198
923 4.757732 0.50438078
924 4.762887 0.50440198
925 4.768041 0.50471019
926 4.773196 0.50491326
927 4.778351 0.50554487
928 4.783505 0.50545511
929 4.788660 0.50580489
930 4.793814 0.50609743
931 4.798969 0.50615259
932 4.804124 0.50605183
933 4.809278 0.50606916
934 4.814433 0.50576491
935 4.819588 0.50624756
936 4.824742 0.50613886
937 4.829897 0.50632411
938 4.835052 0.50656856
939 4.840206 0.50613072
940 4.845361 0.50689618
941 4.850515 0.50625824
942 4.855670 0.50685936
943 4.860825 0.50669875
944 4.865979 0.50660209
945 4.871134 0.50694522
946 4.876289 0.50644026
947 4.881443 0.50680563
948 4.886598 0.50700201
949 4.891753 0.50712382
950 4.896907 0.50637325
951 4.902062 0.50638949
952 4.907216 0.50629720
953 4.912371 0.50686089
954 4.917526 0.50631957
955 4.922680 0.50600005
956 4.927835 0.50640112
957 4.932990 0.50590137
958 4.938144 0.50632061
959 4.943299 0.50594922
960 4.948454 0.50568564
961 4.953608 0.50553051
962 4.958763 0.50576435
963 4.963918 0.50602018
964 4.969072 0.50557454
965 4.974227 0.50535815
966 4.979381 0.50582920
967 4.984536 0.50491252
968 4.989691 0.50492343
969 4.994845 0.50472748
970 5.000000 0.50484267
971 5.005155 0.50484267
972 5.010309 0.50463867
973 5.015464 0.50462816
974 5.020619 0.50436692
975 5.025773 0.50443676
976 5.030928 0.50403808
977 5.036082 0.50417022
978 5.041237 0.50365947
979 5.046392 0.50448069
980 5.051546 0.50435093
981 5.056701 0.50400493
982 5.061856 0.50363273
983 5.067010 0.50385675
984 5.072165 0.50408411
985 5.077320 0.50362271
986 5.082474 0.50362271
987 5.087629 0.50244250
988 5.092784 0.50204844
989 5.097938 0.50210695
990 5.103093 0.50128344
991 5.108247 0.50117125
992 5.113402 0.50156326
993 5.118557 0.50111159
994 5.123711 0.50122217
995 5.128866 0.50057217
996 5.134021 0.50047571
997 5.139175 0.50059424
998 5.144330 0.49985796
999 5.149485 0.50063280
1000 5.154639 0.50082535
1001 5.159794 0.49995975
1002 5.164948 0.49995975
1003 5.170103 0.49920724
1004 5.175258 0.49973370
1005 5.180412 0.49855312
1006 5.185567 0.49913734
1007 5.190722 0.49787829
1008 5.195876 0.49825542
1009 5.201031 0.49825542
1010 5.206186 0.49721639
1011 5.211340 0.49811490
1012 5.216495 0.49709638
1013 5.221649 0.49709771
1014 5.226804 0.49703651
1015 5.231959 0.49712619
1016 5.237113 0.49656532
1017 5.242268 0.49674379
1018 5.247423 0.49637773
1019 5.252577 0.49660193
1020 5.257732 0.49618138
1021 5.262887 0.49588785
1022 5.268041 0.49614340
1023 5.273196 0.49617273
1024 5.278351 0.49544093
1025 5.283505 0.49603849
1026 5.288660 0.49575023
1027 5.293814 0.49615324
1028 5.298969 0.49652267
1029 5.304124 0.49642261
1030 5.309278 0.49572598
1031 5.314433 0.49619248
1032 5.319588 0.49563911
1033 5.324742 0.49523594
1034 5.329897 0.49543335
1035 5.335052 0.49520563
1036 5.340206 0.49465821
1037 5.345361 0.49465821
1038 5.350515 0.49519462
1039 5.355670 0.49435679
1040 5.360825 0.49446653
1041 5.365979 0.49413129
1042 5.371134 0.49404837
1043 5.376289 0.49415802
1044 5.381443 0.49376157
1045 5.386598 0.49361706
1046 5.391753 0.49381635
1047 5.396907 0.49381425
1048 5.402062 0.49358834
1049 5.407216 0.49276172
1050 5.412371 0.49266744
1051 5.417526 0.49274048
1052 5.422680 0.49274048
1053 5.427835 0.49249380
1054 5.432990 0.49249380
1055 5.438144 0.49231206
1056 5.443299 0.49226419
1057 5.448454 0.49202763
1058 5.453608 0.49193109
1059 5.458763 0.49191179
1060 5.463918 0.49239625
1061 5.469072 0.49212933
1062 5.474227 0.49204978
1063 5.479381 0.49208373
1064 5.484536 0.49168216
1065 5.489691 0.49226404
